Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Actor_ethnicity,Movie_countries,Nomination
15 Minutes,2001,6.1,3390263.0,Irish Americans,"{'United States of America', 'Germany'}",False
16 Blocks,2006,6.6,2190622.0,Stateside Puerto Ricans,"{'United States of America', 'Germany'}",False
17 Again,2009,6.4,14545761.0,American Jews,{'United States of America'},False
1776,1972,7.6,11600033.0,White Americans,{'United States of America'},True
18 Again!,1988,5.8,15336744.0,Jewish people,{'United States of America'},False
1857,1946,5.0,33215731.0,Indian,{'India'},False
1871,1990,6.3,12812197.0,English people,{'United Kingdom'},False
1900,1976,7.6,909006.0,Italian Americans,"{'Italy', 'West Germany', 'France'}",False
1911,2011,5.7,31269440.0,Hongkongers,"{'China', 'Hong Kong'}",False
1920,2008,6.4,18850187.0,Indian,{'India'},False
1941,1979,5.8,1329088.0,Albanian American,{'United States of America'},True
1942: A Love Story,1994,7.2,2428475.0,Kashmiri Pandit,{'India'},True
1968 Tunnel Rats,2008,4.8,17136655.0,African Americans,"{'Canada', 'Germany'}",False
1969,1988,5.7,737797.0,Jewish people,{'United States of America'},False
1971,2007,8.2,14344031.0,Indian,{'India'},False
1984,1984,7.1,14254136.0,English people,{'United Kingdom'},False
1990: The Bronx Warriors,1982,5.2,18982622.0,African Americans,{'Italy'},False
1996: Pust på meg!,1997,5.6,28352399.0,Swedes,{'Norway'},False
1:1,2006,6.0,20082420.0,Danes,"{'United Kingdom', 'Denmark'}",False
1½ Knights - In Search of the Ravishing Princess Herzelinde,2008,3.7,31341245.0,Germans,{'Germany'},False
2 Become 1,2006,6.1,13377058.0,Chinese Americans,{'Hong Kong'},False
2 Days in the Valley,1996,6.5,1526194.0,Italian Americans,{'United States of America'},False
2 Fast 2 Furious,2003,5.9,407288.0,Jewish people,"{'United States of America', 'Germany'}",False
"2 Little, 2 Late",1999,7.7,15346826.0,African Americans,{'United States of America'},False
2 Young,2005,6.5,2014153.0,Chinese Americans,{'Hong Kong'},False
20 Mule Team,1940,6.4,9140158.0,Spanish Americans,{'United States of America'},False
"20,000 Leagues Under the Sea",1916,6.1,5813580.0,Irish people,{'United States of America'},True
"20,000 Leagues Under the Sea",1954,7.2,5516824.0,Jewish people,{'United States of America'},True
"20,000 Years in Sing Sing",1932,6.8,12558286.0,Irish Americans,{'United States of America'},False
200 Cigarettes,1999,6.0,677920.0,Jewish people,{'United States of America'},False
200 Motels,1971,5.6,900780.0,Jewish people,{'United States of America'},False
200 Pounds Beauty,2006,6.7,9990262.0,Koreans,{'South Korea'},False
2000 AD,2000,5.9,10677545.0,Chinese Americans,"{'Singapore', 'Hong Kong'}",False
2001 Maniacs,2005,5.3,7034456.0,Swedish Americans,{'United States of America'},False
2010: The Year We Make Contact,1984,6.7,1195560.0,Scottish Americans,{'United States of America'},False
2012,2009,5.8,18436536.0,Irish Americans,{'United States of America'},False
2046,2004,7.4,213462.0,Hongkongers,"{'Germany', 'France', 'Hong Kong', 'Italy', 'China'}",False
21,2008,6.8,10433895.0,African Americans,{'United States of America'},False
21 Grams,2003,7.6,468326.0,Jewish people,{'United States of America'},True
21 Jump Street,2012,7.2,33509716.0,Jewish people,{'United States of America'},False
23 Paces to Baker Street,1956,6.9,13912560.0,Dutch Americans,{'United States of America'},False
23rd March 1931: Shaheed,2002,5.3,7905624.0,Indian,{'India'},False
24 City,2008,7.1,17124732.0,Chinese Americans,"{'China', 'Hong Kong', 'Japan'}",False
24 Hour Party People,2002,7.3,360138.0,English people,{'United Kingdom'},False
24 Hrs,2010,6.9,28685424.0,Indian,{'India'},False
247°F,2011,4.8,32867956.0,German Americans,{'Georgia'},False
25th Hour,2002,7.6,695700.0,African Americans,{'United States of America'},False
27 Dresses,2008,6.1,13439139.0,Swedish Canadians,{'United States of America'},False
28 Days,2000,6.1,2470904.0,Danish Americans,{'United States of America'},False
28 Days Later,2002,7.5,145892.0,English people,"{'United States of America', 'Netherlands', 'United Kingdom'}",False
28 Weeks Later,2007,6.9,5971538.0,African Americans,"{'United Kingdom', 'Spain'}",False
29 Palms,2002,4.7,13210792.0,Jewish people,{'United States of America'},False
29th Street,1991,7.2,18650739.0,Italian Americans,"{'United States of America', 'Japan'}",False
3,2012,7.4,32648655.0,Indian,{'India'},False
3,2012,6.2,32648655.0,Indian,{'India'},False
3 Backyards,2010,5.0,29952113.0,Swedish Americans,{'United States of America'},False
3 Deewarein,2003,7.8,5721950.0,Punjabis,{'India'},False
3 Ninjas,1992,5.3,2223589.0,Asian Americans,{'United States of America'},False
3 Ninjas Kick Back,1994,4.6,3278100.0,Asian Americans,"{'United States of America', 'Japan'}",False
3 Ninjas: High Noon at Mega Mountain,1998,3.0,4610810.0,Asian Americans,{'United States of America'},False
3 Nuts in Search of a Bolt,1964,4.7,26164871.0,Swedish Americans,{'United States of America'},False
3 Ring Circus,1954,5.9,6724790.0,Hungarian Americans,{'United States of America'},False
3 Seasons in Hell,2009,6.4,25320789.0,Czechs,"{'Czech Republic', 'Germany', 'Slovak Republic', 'Slovakia'}",False
3 Strikes,2000,4.7,5877719.0,Sicilian Americans,{'United States of America'},False
3 Women,1977,7.7,2798805.0,Czech Americans,{'United States of America'},False
3-Iron,2004,7.9,2261407.0,Koreans,"{'South Korea', 'Japan'}",False
30 Days,1999,5.0,28790520.0,Jewish people,{'United States of America'},False
30 Days of Night,2007,6.6,6941760.0,Swedes,{'United States of America'},False
30 Minutes or Less,2011,6.1,28370864.0,Jewish people,"{'United States of America', 'Germany', 'Canada'}",False
300,2006,7.6,2465797.0,English people,{'United States of America'},False
3000 Miles,2007,6.1,29032218.0,White Americans,"{'United States of America', 'United Kingdom'}",False
3000 Miles to Graceland,2001,6.0,718302.0,African Americans,{'United States of America'},False
31 North 62 East,2009,4.2,19869058.0,Welsh people,{'United Kingdom'},False
32A,2007,6.5,23525900.0,English people,"{'Ireland', 'Germany'}",False
35 and Ticking,2011,5.5,29437259.0,African Americans,{'United States of America'},False
36 China Town,2006,5.8,4768207.0,Gujarati people,{'India'},False
360,2011,6.1,29026343.0,English people,"{'United Kingdom', 'Brazil', 'Austria', 'France'}",False
365 Nights in Hollywood,1934,5.6,17007116.0,Norwegian Americans,{'United States of America'},False
36th Precinct,2004,7.1,2809683.0,French,{'France'},False
3:10 to Yuma,1957,7.6,3374650.0,Scottish Americans,{'United States of America'},True
3:10 to Yuma,2007,7.6,4270540.0,English people,{'United States of America'},True
4 for Texas,1963,5.5,8900180.0,Italian Americans,{'United States of America'},False
4 the People,2004,6.3,8904214.0,Tamil,{'India'},False
40 Carats,1973,6.4,9509553.0,Norwegians,{'United States of America'},False
40 Days and 40 Nights,2002,5.6,887457.0,Swedes,"{'United States of America', 'United Kingdom', 'France'}",False
40 Pounds of Trouble,1962,6.3,24600431.0,Hungarian Americans,{'United States of America'},False
400 Years of the Telescope,2009,7.3,22610527.0,African Americans,{'United States of America'},False
42,2013,7.5,36239136.0,German Americans,{'United States of America'},False
44 Inch Chest,2009,5.8,18986931.0,English people,{'United Kingdom'},False
47 morto che parla,1950,7.0,16263374.0,Italians,{'Italy'},False
48 Hrs.,1982,6.9,2436406.0,Irish people,{'United States of America'},False
5 Branded Women,1960,6.6,26057620.0,Italians,"{'United States of America', 'Italy'}",False
5 Card Stud,1968,6.4,1346925.0,Italian Americans,{'United States of America'},False
5 Rifles,1974,6.9,10700893.0,Indian,{'India'},False
50 First Dates,2004,6.8,477099.0,Jewish people,{'United States of America'},False
50/50,2011,7.6,28150124.0,Ashkenazi Jews,{'United States of America'},False
500 Years Later,2005,7.0,5600244.0,African Americans,"{'United States of America', 'United Kingdom'}",False
51,2011,3.5,28374580.0,British Americans,{'United States of America'},False
5150 Elm's Way,2009,6.5,25397721.0,Quebeckers,{'Canada'},False
52 Pick-Up,1986,6.4,1468747.0,Swedish Americans,{'United States of America'},False
54,1998,5.9,686213.0,Mexicans,{'United States of America'},False
55 Days at Peking,1963,6.7,962502.0,Scottish Americans,{'United States of America'},True
5ive Girls,2006,4.4,14472255.0,Jewish people,{'Canada'},False
6'2,2005,3.9,16168362.0,Indian,{'India'},False
69,2004,6.7,4657647.0,Japanese people,{'Japan'},False
7 Faces of Dr. Lao,1964,7.1,2301060.0,Norwegian Americans,{'United States of America'},True
7 Lives,2011,3.4,33528878.0,English people,{'United Kingdom'},False
7 Years,2006,6.1,20713272.0,Swiss,"{'Netherlands', 'France'}",False
7-10 Split,2007,4.3,20334134.0,English people,{'United States of America'},False
72 Tenants of Prosperity,2010,5.7,25452802.0,Hongkongers,{'Hong Kong'},False
72 days,2010,6.8,33252227.0,Serbs of Croatia,{'Croatia'},False
8,2008,5.8,21106078.0,Indian,{'France'},False
8 Heads in a Duffel Bag,1997,5.4,3787708.0,Italian Americans,"{'United States of America', 'United Kingdom'}",False
8 Mile,2002,7.2,11014779.0,African Americans,"{'United States of America', 'Germany'}",True
8 Million Ways to Die,1986,5.7,1670656.0,African Americans,{'United States of America'},False
8 Seconds,1994,6.6,4633684.0,peoples,{'United States of America'},False
8 Women,2002,7.0,2594435.0,French,{'France'},False
"80,000 Suspects",1963,6.0,19815563.0,Jewish people,{'United Kingdom'},False
84 Charing Cross Road,1987,7.4,15861151.0,Irish migration to Great Britain,"{'United States of America', 'United Kingdom'}",False
88 Antop Hill,2003,4.7,9851844.0,Indian,{'India'},False
88 Minutes,2007,5.9,4059223.0,Italian Americans,"{'United States of America', 'Germany', 'Canada'}",False
8½,1963,8.0,318810.0,French,"{'Italy', 'France'}",True
9,2009,7.0,12940547.0,American Jews,{'United States of America'},True
9 Songs,2004,4.7,1508787.0,English people,{'United Kingdom'},False
9/Tenths,2006,5.1,7731090.0,British Indian,{'United States of America'},False
90 Ghanta,2008,5.1,19256291.0,Indian,{'India'},False
976-EVIL,1988,5.1,7677968.0,Italian Americans,{'United States of America'},False
99,1918,4.5,15325337.0,Hungarian Americans,{'Hungary'},False
99,2009,7.3,22542726.0,Indian,{'India'},False
9½ Weeks,1986,5.9,1896864.0,Irish Americans,{'United States of America'},False
A Aa E Ee,2009,6.0,19609298.0,Indian,{'India'},False
A Beautiful Mind,2001,8.2,3569822.0,Jewish people,{'United States of America'},True
A Beginner's Guide to Endings,2010,6.3,25485450.0,Polish Americans,{'Canada'},False
A Better Life,2011,7.2,31964514.0,Hispanic,{'United States of America'},True
A Better Life,2011,6.6,31964514.0,Hispanic,{'United States of America'},True
A Better Place,1997,6.9,3689613.0,White Americans,{'United States of America'},False
A Better Tomorrow,1986,7.4,89541.0,Hongkongers,"{'China', 'Hong Kong'}",False
A Better Tomorrow,2010,5.7,33192532.0,Koreans,{'South Korea'},False
A Big Hand for the Little Lady,1966,7.3,6788669.0,Dutch Americans,{'United States of America'},False
A Bit of Tom Jones?,2009,4.4,28609578.0,Welsh people,{'United Kingdom'},False
A Bittersweet Life,2005,7.5,2411357.0,Koreans,{'South Korea'},False
A Blade in the Dark,1983,5.9,13538989.0,Italians,{'Italy'},False
A Bloody Aria,2006,6.4,20987461.0,Koreans,{'South Korea'},False
A Boy Called Dad,2009,6.4,26499171.0,English people,{'United Kingdom'},False
A Brand New Life,2009,7.4,27002245.0,Koreans,"{'South Korea', 'France'}",False
A Breath of Scandal,1960,5.5,7376439.0,Italians,{'United States of America'},False
A Breed Apart,1984,5.6,15738569.0,Dutch,{'United States of America'},False
A Bridge Too Far,1977,7.4,89397.0,Jewish people,"{'United States of America', 'United Kingdom'}",False
A Brighter Summer Day,1991,8.2,7595441.0,Taiwanese,{'Taiwan'},False
A Brokedown Melody,2004,7.9,35448806.0,Syrian Americans,{'United States of America'},False
A Broken Life,2007,4.9,12491178.0,African Americans,{'Canada'},False
A Bronx Tale,1993,7.8,591309.0,Italian Americans,{'United States of America'},False
A Buddy Story,2010,6.1,35235985.0,Jewish people,{'United States of America'},False
A Bug's Life,1998,7.2,460442.0,Jewish people,{'United States of America'},True
A Bullet for Joey,1955,6.0,25751847.0,German Americans,{'United States of America'},False
A Bullet for the General,1967,7.0,4241755.0,Italians,{'Italy'},False
A Bunch of Amateurs,2008,6.0,21950055.0,English people,{'United Kingdom'},False
A Business Affair,1994,5.5,15687214.0,Spaniards,"{'United Kingdom', 'Germany', 'France', 'Spain'}",False
A Cat in the Brain,1990,5.5,21375200.0,Italians,{'Italy'},False
A Certain Smile,1958,5.6,20818010.0,British Americans,{'United States of America'},True
A Change of Seasons,1980,5.2,15131446.0,Irish migration to Great Britain,{'United States of America'},False
A Cheerful Gang Turns the Earth,2006,5.4,8528885.0,Japanese people,{'Japan'},False
A Child Is Waiting,1963,7.2,6194015.0,Irish Americans,{'United States of America'},False
A Chinese Ghost Story III,1991,6.6,6193473.0,Hongkongers,{'Hong Kong'},False
A Chinese Ghost Story: The Tsui Hark Animation,1997,6.5,9077943.0,Hongkongers,"{'Hong Kong', 'Japan'}",False
A Chinese Tall Story,2005,4.9,6309664.0,Chinese Filipino,{'Hong Kong'},False
A Christmas Carol,1938,7.5,1298541.0,English people,{'United States of America'},True
A Christmas Carol,2004,5.2,3270562.0,Scottish Americans,"{'United States of America', 'Hungary'}",True
A Christmas Carol,2009,6.8,12121822.0,Irish migration to Great Britain,{'United States of America'},True
A Christmas Tale,2008,7.0,11195154.0,French,{'France'},False
A Chump at Oxford,1940,7.2,3177319.0,Scottish Americans,{'United States of America'},False
A Cinderella Story,2004,5.9,466340.0,African Americans,"{'United States of America', 'Canada'}",False
A City of Sadness,1989,7.8,2926597.0,Hongkongers,"{'United Kingdom', 'Taiwan', 'Hong Kong'}",False
A Civil Action,1998,6.6,1367581.0,Jewish people,{'United States of America'},True
A Clockwork Orange,1971,8.2,1659954.0,Jewish people,"{'United States of America', 'United Kingdom'}",True
A Closer Walk,2003,8.2,16979821.0,Irish people,{'Australia'},False
A Colt Is My Passport,1967,7.4,17528498.0,Japanese people,{'Japan'},False
A Connecticut Yankee,1931,6.3,18164604.0,Cherokee,{'United States of America'},False
A Connecticut Yankee in King Arthur's Court,1949,6.5,14998554.0,Irish Americans,{'United States of America'},False
A Constant Forge,2000,7.4,3654037.0,Jewish people,{'United States of America'},False
A Couch in New York,1996,5.9,5703995.0,French,"{'Belgium', 'France', 'Germany'}",False
A Countess from Hong Kong,1967,6.0,2974264.0,Dutch Americans,"{'United States of America', 'United Kingdom'}",False
A Crime,2006,5.6,16192018.0,Jewish people,"{'United States of America', 'France'}",False
A Cry in the Dark,1988,6.9,595909.0,Kiwi,"{'United States of America', 'New Zealand', 'Australia'}",True
A Cry in the Night,1956,6.0,36422681.0,Russians,{'United States of America'},False
A Damsel in Distress,1937,6.8,2592742.0,German Americans,{'United States of America'},True
A Dandy in Aspic,1968,6.2,12313925.0,Jewish people,{'United Kingdom'},False
A Dangerous Method,2011,6.4,28075240.0,English people,"{'Germany', 'France', 'Canada', 'United Kingdom', 'Ireland', 'Switzerland'}",False
A Dangerous Profession,1949,6.0,15297491.0,Irish Americans,{'United States of America'},False
A Dangerous Woman,1993,5.7,23195993.0,Swedish Americans,{'United States of America'},False
A Daughter of the Congo,1930,5.6,20848381.0,African Americans,{'United States of America'},False
A Day Without a Mexican,2004,4.8,991410.0,Jewish people,"{'United States of America', 'Mexico', 'Spain'}",False
A Day at the Beach,1970,6.2,1466166.0,Jewish people,"{'United States of America', 'United Kingdom'}",False
A Day at the Races,1937,7.5,606121.0,Jewish people,{'United States of America'},True
A Day for Lionhearts,1961,7.4,36355595.0,Cuban Americans,{'Italy'},False
A Day in the Death of Joe Egg,1972,6.7,26198005.0,Jewish people,{'United Kingdom'},False
A Day in the Life,2009,5.1,23599975.0,African Americans,{'United States of America'},False
A Delicate Balance,1973,6.5,7252487.0,White Americans,"{'United States of America', 'United Kingdom', 'Canada'}",False
A Devil with Women,1930,6.9,33695033.0,Dutch Americans,{'United States of America'},False
A Different Loyalty,2004,4.9,8485960.0,English people,"{'United States of America', 'United Kingdom', 'Canada', 'Malta'}",False
A Difficult Life,1961,8.0,10659691.0,Italians,{'Italy'},False
A Dirty Shame,2004,5.1,1330877.0,Romani people,{'United States of America'},False
A Dispatch from Reuters,1940,6.9,18427933.0,Jewish people,{'United States of America'},False
A Dog of Flanders,1999,6.2,25910532.0,Slovak Americans,{'United States of America'},False
A Dog's Life,1950,7.2,21968479.0,Italians,{'Italy'},False
A Doll's House,1973,6.4,10381990.0,Irish migration to Great Britain,{'United Kingdom'},False
A Doll's House,1973,6.0,10381990.0,Irish migration to Great Britain,{'United Kingdom'},False
A Double Life,1947,7.0,149791.0,Swedish Americans,{'United States of America'},True
A Dream of Passion,1978,6.8,16749582.0,Irish Americans,"{'Greece', 'Switzerland'}",False
A Driver for Vera,2004,7.1,18357694.0,Ukrainians,"{'Ukraine', 'Russia'}",False
A Dry White Season,1989,7.0,1367502.0,English Americans,"{'United States of America', 'South Africa'}",True
A Face in the Crowd,1957,8.2,2019404.0,White Americans,{'United States of America'},False
A Family,2010,6.6,26108794.0,Danes,{'Denmark'},False
A Family Affair,1937,6.6,17712808.0,Swedish Americans,{'United States of America'},False
A Family Thing,1996,7.1,8448301.0,African Americans,{'United States of America'},False
A Far Off Place,1993,6.5,5329751.0,Scottish Americans,{'United States of America'},False
A Farewell to Arms,1957,5.8,15100596.0,Italians,{'United States of America'},True
A Farewell to Arms,1957,5.8,15100596.0,Italians,{'United States of America'},True
A Fever in the Blood,1961,6.4,33773876.0,Jewish people,{'United States of America'},False
A Few Good Men,1992,7.7,20691749.0,Italian Americans,{'United States of America'},True
A Fine Madness,1966,5.6,2015043.0,Jewish people,{'United States of America'},False
A Fine Mess,1986,4.7,5501911.0,Jewish people,{'United States of America'},False
A Fish Called Wanda,1988,7.5,308898.0,English people,"{'United States of America', 'United Kingdom'}",True
A Fistful of Dollars,1964,7.9,441926.0,English Americans,"{'Germany', 'Italy', 'Spain'}",False
A Flat,2010,4.4,29640756.0,Kashmiri people,{'India'},False
A Flea in Her Ear,1968,5.5,30505130.0,English people,"{'United States of America', 'France'}",False
A Fool There Was,1915,5.7,3853935.0,Jewish people,{'United States of America'},False
A Force of One,1979,5.1,6490523.0,Cherokee,{'United States of America'},False
A Foreign Affair,1948,7.3,2914693.0,German Americans,{'United States of America'},True
A Free Soul,1931,6.6,144765.0,Jewish people,{'United States of America'},True
A Funny Thing Happened on the Way to the Forum,1966,6.8,12666854.0,Jewish people,"{'United States of America', 'United Kingdom'}",True
A Gathering of Eagles,1963,6.1,2572817.0,Australian Americans,{'United States of America'},True
A Generation,1955,7.1,1654151.0,French,{'Poland'},False
"A Genius, Two Partners and a Dupe",1975,6.2,11104130.0,Italians,{'Italy'},False
A Get2Gether,2005,4.9,19022589.0,African Americans,{'United States of America'},False
A Girl Cut in Two,2007,6.2,18878308.0,French,{'France'},False
A Girl Must Live,1939,6.5,26558534.0,Germans,{'United Kingdom'},False
A Girl Named Tamiko,1962,5.7,23817786.0,Jewish people,{'United States of America'},False
A Girl in Australia,1971,6.9,18794003.0,Italians,{'Italy'},False
A Girl in Every Port,1952,5.2,17435950.0,Jewish people,{'United States of America'},False
A Global Affair,1964,5.4,25012140.0,Irish Americans,{'United States of America'},False
A Good Day to Die Hard,2013,5.2,34228306.0,African Americans,{'United States of America'},False
A Good Day to Have an Affair,2007,5.6,10827382.0,Koreans,{'South Korea'},False
A Good Man in Africa,1994,5.0,15172134.0,Scottish Americans,"{'United States of America', 'South Africa'}",False
A Good Old Fashioned Orgy,2011,6.1,31838471.0,English people,{'United States of America'},False
A Good Woman,2004,6.4,1960065.0,Ashkenazi Jews,"{'Spain', 'United Kingdom', 'Italy', 'Luxembourg', 'United States of America'}",False
A Good Year,2006,6.9,3894411.0,French,"{'United States of America', 'United Kingdom'}",False
A Goofy Movie,1995,6.9,155785.0,Jewish people,{'United States of America'},False
A Grande Arte,1991,6.1,1813096.0,Sephardi Jews,"{'United States of America', 'Brazil'}",False
A Guide for the Married Man,1967,6.6,8181832.0,Swedish Americans,{'United States of America'},False
A Guide to Recognizing Your Saints,2006,6.9,5529883.0,Scottish Americans,{'United States of America'},False
A Gunfight,1971,6.3,8973880.0,Russian Americans,{'United States of America'},False
A Guy Named Joe,1943,6.9,5566354.0,Irish Americans,{'United States of America'},True
A Guy Thing,2003,5.6,1394726.0,Jewish people,{'United States of America'},False
A Handful of Dust,1988,6.6,28787942.0,English people,{'United Kingdom'},True
A Hard Day's Night,1964,7.5,248601.0,Irish migration to Great Britain,{'United Kingdom'},True
A High Wind in Jamaica,1965,6.5,18904524.0,Mexican Americans,{'United Kingdom'},False
A History of Violence,2005,7.4,1726126.0,Danish Americans,"{'United States of America', 'Germany'}",True
A Hole in the Head,1959,6.2,5577180.0,Irish Americans,{'United States of America'},True
A Holy Terror,1931,5.2,34042752.0,Dutch Americans,{'United States of America'},False
A Home at the End of the World,2004,6.6,20331472.0,Czech Americans,{'United States of America'},False
A Home of Our Own,1993,7.1,7202949.0,Mexicans,{'United States of America'},False
A Home of Your Own,1964,6.7,6234175.0,English people,{'United Kingdom'},False
A House Is Not a Home,1964,5.8,3267547.0,Bolivian American,{'United States of America'},True
A Kid for Two Farthings,1955,6.4,5260320.0,Jewish people,{'United Kingdom'},False
A Kid from Tibet,1991,6.0,4277733.0,Hongkongers,"{'Taiwan', 'Hong Kong'}",False
A Kid in King Arthur's Court,1995,4.7,286852.0,Jewish people,"{'United States of America', 'Hungary', 'United Kingdom'}",False
A Killer Walks,1952,5.6,21760723.0,Jewish people,{'United Kingdom'},False
A Killer Within,2004,5.0,9313808.0,Italian Americans,{'United States of America'},False
A Kind of Loving,1962,7.3,5482341.0,White British,{'United Kingdom'},False
A King in New York,1957,7.0,1854398.0,Romani people,"{'United States of America', 'United Kingdom'}",False
A Kiss Before Dying,1991,5.7,1667210.0,Scottish Americans,"{'United States of America', 'United Kingdom'}",False
A Kiss for Corliss,1949,5.8,37090987.0,English people,{'United States of America'},False
A Knight's Tale,2001,7.0,65669.0,Jewish people,{'United States of America'},False
A Lady Takes a Chance,1943,6.3,12625760.0,Jewish people,{'United States of America'},False
A Lady Without Passport,1950,6.1,2343735.0,Austrian Americans,{'United States of America'},False
A Last Note,1995,6.8,21149183.0,Japanese people,{'Japan'},False
A League of Their Own,1992,7.3,543433.0,French Canadians,{'United States of America'},False
A Lesson in Love,1954,7.0,8072901.0,Swedes,{'Sweden'},False
A Letter from Death Row,1998,3.7,15864743.0,Spanish Americans,{'United States of America'},False
A Letter to Elia,2010,7.4,29479424.0,Italian Americans,{'United States of America'},False
A Letter to Three Wives,1949,7.7,80923.0,Russian Americans,{'United States of America'},True
A Life Less Ordinary,1997,6.3,915192.0,English people,"{'United States of America', 'United Kingdom'}",False
A Lion Is in the Streets,1953,6.1,9223398.0,Irish Americans,{'United States of America'},False
A Little Bit of Heaven,2011,6.2,27995292.0,Hungarians,{'United States of America'},False
A Little Help,2010,5.6,27440393.0,Irish Americans,{'United States of America'},False
A Little Princess,1995,7.6,3343617.0,Jewish people,{'United States of America'},True
A Little Sex,1982,4.9,12786251.0,Jewish people,{'United States of America'},False
A Little Trip to Heaven,2005,5.9,3535700.0,Akan people,"{'United States of America', 'Iceland'}",False
A Lonely Place to Die,2011,6.2,27577419.0,English people,{'United Kingdom'},False
A Lost Lady,1934,6.0,19127891.0,Jewish people,{'United States of America'},False
A Lot Like Love,2005,6.6,1745339.0,Dutch,{'United States of America'},False
A Love Song for Bobby Long,2004,7.1,1195543.0,Italian Americans,{'United States of America'},False
A Lovely Way to Die,1968,5.1,27757636.0,Russian Americans,{'United States of America'},False
A Loving Father,2002,6.2,13681543.0,French,"{'Canada', 'United Kingdom', 'Switzerland', 'France'}",False
A Low Down Dirty Shame,1994,5.9,2797150.0,African Americans,{'United States of America'},False
A Man Alone,1955,6.4,32922108.0,Scottish Americans,{'United States of America'},False
A Man Apart,2003,6.0,1675523.0,African Americans,"{'United States of America', 'Germany'}",False
A Man Called Horse,1970,6.8,10542198.0,Irish people,{'United States of America'},False
A Man Called Sarge,1990,4.4,25745409.0,Jewish people,{'United States of America'},False
A Man Called Sledge,1970,5.9,6056839.0,White Americans,{'Italy'},False
A Man Could Get Killed,1966,5.8,6057698.0,White Americans,{'United States of America'},False
A Man Who Was Superman,2008,7.3,20433007.0,Koreans,{'South Korea'},False
A Man and a Woman,1966,7.5,214312.0,French,{'France'},True
A Man and a Woman: 20 Years Later,1986,5.8,23651072.0,French,{'France'},False
A Man for All Seasons,1966,7.7,4836350.0,English people,{'United Kingdom'},True
